Date,Open,High,Low,Close,Adj Close,Volume
3/4/16,70.959999,72.959999,70.720001,72.220001,72.220001,10763600
3/7/16,72.199997,73.980003,72,72.889999,72.889999,11244500
3/8/16,72.400002,72.650002,70.959999,71.07,71.07,8670700
3/9/16,71.589996,72.610001,70.68,72.43,72.43,7283400
3/10/16,72.5,73.050003,70.605003,71.970001,71.970001,11247900
3/11/16,72.580002,74.010002,72.220001,74.010002,74.010002,11219200
3/14/16,74.010002,74.419998,72.889999,73.349998,73.349998,11069800
3/15/16,72.620003,72.839996,71.75,72.230003,72.230003,8373700
3/16/16,72.010002,73.660004,71.860001,73.5,73.5,7701200
3/17/16,73.760002,74.370003,73.510002,74.25,74.25,9423900
3/18/16,74.970001,76.300003,74.709999,76.25,76.25,13350100
3/21/16,77.089996,79.68,76.940002,78.110001,78.110001,15493300
3/22/16,77,78.550003,76.907997,78.18,78.18,9148400
3/23/16,78.160004,78.980003,76.150002,76.559998,76.559998,10806800
3/24/16,75.150002,76.150002,73.529999,75.860001,75.860001,8833400
3/28/16,76.449997,76.889999,74.900002,76.480003,76.480003,6082100
3/29/16,75.599998,78.239998,75.57,78.080002,78.080002,12535000
3/30/16,79.010002,79.550003,78.540001,78.860001,78.860001,10696000
3/31/16,78.5,79.839996,78.410004,79.029999,79.029999,11318500
4/1/16,78.239998,79.019997,78.199997,78.730003,78.730003,9262200
4/4/16,78.330002,79.550003,78.32,79.080002,79.080002,9817300
4/5/16,78.199997,78.300003,76.910004,77.32,77.32,9603900
4/6/16,77.300003,79.150002,77.190002,78.68,78.68,9071900
4/7/16,77.599998,78.599998,77.182999,77.610001,77.610001,10937900
4/8/16,78.269997,78.760002,76.621002,77.470001,77.470001,8401200
4/11/16,78.07,78.588997,77.43,77.709999,77.709999,7896500
4/12/16,78,78.239998,76.870003,77.860001,77.860001,7115400
4/13/16,78.739998,79.720001,78.5,79.639999,79.639999,14150900
4/14/16,79.309998,79.858002,78.360001,79.610001,79.610001,12611500
4/15/16,79.449997,79.75,78.459999,78.970001,78.970001,11709100
4/18/16,78.519997,79.120003,77.709999,79.010002,79.010002,7767000
4/19/16,79.199997,80.480003,78.470001,79.459999,79.459999,14742000
4/20/16,79,81.735001,78.989998,81.209999,81.209999,14911900
4/21/16,81.080002,81.779999,80.199997,80.779999,80.779999,8819000
4/22/16,80.120003,81.440002,79.154999,79.889999,79.889999,8649300
4/25/16,79.800003,79.839996,78.68,78.839996,78.839996,9207600
4/26/16,78.849998,79.559998,77.800003,78.610001,78.610001,9632700
4/27/16,78.300003,78.620003,76.57,77.650002,77.650002,11491900
4/28/16,77.650002,77.900002,76.089996,76.400002,76.400002,9959900
4/29/16,76.809998,77.279999,75.660004,76.940002,76.940002,10124300
5/2/16,76.889999,77,75.940002,76.610001,76.610001,7718100
5/3/16,75.959999,76.269997,75.425003,75.910004,75.910004,8019200
5/4/16,75.639999,75.910004,75.010002,75.82,75.82,14326600
5/5/16,79.519997,79.940002,78.099998,78.830002,78.830002,27950900
5/6/16,78.349998,79.720001,78.25,79.199997,79.199997,12862100
5/9/16,78.940002,79.980003,78.889999,79.410004,79.410004,11795800
5/10/16,79.790001,79.980003,79.150002,79.720001,79.720001,9319700
5/11/16,79.43,80.485001,79.410004,79.800003,79.800003,11072500
5/12/16,80.010002,80.449997,78.32,79.160004,79.160004,8791400
5/13/16,78.824997,79.160004,76.970001,77.160004,77.160004,10078000
5/16/16,77.860001,79.93,77.589996,79.290001,79.290001,11661000
5/17/16,79.830002,80.199997,79.309998,79.349998,79.349998,10970700
5/18/16,78.709999,80,78.470001,79.029999,79.029999,9085800
5/19/16,78.650002,79.260002,77.599998,78.32,78.32,8317500
5/20/16,78.32,79.449997,78.32,78.790001,78.790001,11043900
5/23/16,78.949997,79.5,78.599998,79,79,7187500
5/24/16,79.169998,81.309998,79.07,81.120003,81.120003,16707700
5/25/16,78.529999,79.199997,74.120003,75.589996,75.589996,49606600
5/26/16,75.589996,78.864998,75.589996,78.349998,78.349998,26968600
5/27/16,78.489998,81,78.389999,80.970001,80.970001,24552900
5/31/16,81,82.029999,80.199997,82,82,78861400
6/1/16,82,82,76.550003,76.690002,76.690002,62531500
6/2/16,76.650002,77.75,76.559998,77.300003,77.300003,45379500
6/3/16,77.239998,77.800003,75.709999,76.620003,76.620003,23685700
